id,time,x,y,z,tilt_fc,tilt_tw,z_smo,y_smo,t1,tVal,bin,windowSize,run_id,smo_prob,bin_hmm,run_idle_id,numbers,recipe_step
132,46.918S,0,0.94,-0.06,0,3.65,-0.06572241942783845,0.951632041539731,1970-01-01T00:00:00Z,-20,-1,,1,0.0010192114264044962,Idle,1,2200,Idle -1
133,46.921S,0,0.94,-0.06,0,3.58,-0.0657235326069812,0.9516333453548731,1970-01-01T00:00:00Z,-20,-1,,1,9.933064462871247e-4,Idle,1,2200,Idle -1
134,46.923S,0,0.94,-0.06,0,4.86,-0.0657242748113052,0.9516342200397025,1970-01-01T00:00:00Z,-20,-1,,1,9.246190560601065e-4,Idle,1,2200,Idle -1
135,46.926S,-0.01,0.96,-0.06,0.61,3.04,-0.06572538824712948,0.951635540304908,1970-01-01T00:00:00Z,-20,-1,,1,7.438701082345401e-4,Idle,1,2200,Idle -1
136,46.929S,-0.01,0.96,-0.06,0.6,3.58,-0.06572650184055383,0.9516368704866993,1970-01-01T00:00:00Z,-20,-1,,1,6.883905456428223e-4,Idle,1,2200,Idle -1
137,46.932S,-0.01,0.96,-0.06,0.6,3.58,-0.06572761559427161,0.9516382106199865,1970-01-01T00:00:00Z,-20,-1,,1,6.715982315900501e-4,Idle,1,2200,Idle -1
138,46.936S,-0.01,0.96,-0.06,0.6,4.76,-0.06572910085322915,0.951640013004814,1970-01-01T00:00:00Z,-20,-1,,1,6.675156102949056e-4,Idle,1,2200,Idle -1
139,46.939S,-0.01,0.96,-0.06,0.6,4.76,-0.06573021499143912,0.9516413764940224,1970-01-01T00:00:00Z,-20,-1,,1,6.701991650098744e-4,Idle,1,2200,Idle -1
140,46.942S,-0.01,0.96,-0.06,0.6,3.58,-0.06573132929892041,0.9516427500510956,1970-01-01T00:00:00Z,-20,-1,,1,6.842050978496778e-4,Idle,1,2200,Idle -1
141,46.945S,-0.01,0.96,-0.06,0.61,3.65,-0.06573244377836633,0.9516441337109441,1970-01-01T00:00:00Z,-20,-1,,1,7.318635977969883e-4,Idle,1,2200,Idle -1
142,46.948S,-0.01,0.94,-0.06,0,3.65,-0.06573355843247032,0.9516455275084785,1970-01-01T00:00:00Z,-20,-1,,1,8.883509933245506e-4,Idle,1,2200,Idle -1
143,46.951S,-0.01,0.94,-0.06,0.6,3.58,-0.0657346732639257,0.9516469314786095,1970-01-01T00:00:00Z,-20,-1,,1,8.882821341094567e-4,Idle,1,2200,Idle -1
144,46.954S,-0.01,0.96,-0.06,0.61,4.86,-0.06573578827542584,0.9516483456562476,1970-01-01T00:00:00Z,-20,-1,,1,7.311410188950269e-4,Idle,1,2200,Idle -1
145,46.957S,-0.01,0.96,-0.08,0.6,3.58,-0.0657369034696641,0.9516497700763035,1970-01-01T00:00:00Z,-20,-1,,1,6.829009363403215e-4,Idle,1,2200,Idle -1
146,46.96S,-0.01,0.96,-0.08,0.6,4.76,-0.06573801884933385,0.9516512047736873,1970-01-01T00:00:00Z,-20,-1,,1,6.681094279561345e-4,Idle,1,2200,Idle -1
147,46.963S,-0.01,0.96,-0.06,0,4.76,-0.06573913441712846,0.9516526497833103,1970-01-01T00:00:00Z,-20,-1,,1,6.638747719688989e-4,Idle,1,2200,Idle -1
148,46.966S,-0.01,0.96,-0.06,0.6,3.58,-0.06574025017574128,0.9516541051400826,1970-01-01T00:00:00Z,-20,-1,,1,6.63902039087611e-4,Idle,1,2200,Idle -1
149,46.969S,0,0.96,-0.06,0,3.58,-0.06574136612786569,0.9516555708789151,1970-01-01T00:00:00Z,-20,-1,,1,6.686020602788282e-4,Idle,1,2200,Idle -1
150,46.972S,-0.01,0.96,-0.06,0.6,3.58,-0.06574248227619504,0.9516570470347182,1970-01-01T00:00:00Z,-20,-1,,1,6.857444348768725e-4,Idle,1,2200,Idle -1
151,46.976S,-0.01,0.96,-0.06,0,3.65,-0.06574397078383039,0.9516590315069713,1970-01-01T00:00:00Z,-20,-1,,1,7.427002301577946e-4,Idle,1,2200,Idle -1
