id,time,x,y,z,z_smo,y_smo,t1,tVal,bin,windowSize,run_id,smo_prob,bin_hmm,run_idle_id,numbers,recipe_step
101,630.557S,2.47,0.96,0.43,0.4332280731803778,0.9598258822231722,1970-01-01T00:00:00Z,-20,0,,1,3.092722457212286e-4,idle,1,1085,idle 0
102,630.561S,2.47,0.96,0.43,0.4332272823916351,0.9598262072568317,1970-01-01T00:00:00Z,-20,0,,1,3.092568447047721e-4,idle,1,1085,idle 0
103,630.565S,2.47,0.96,0.43,0.43322650401668694,0.95982653238185,1970-01-01T00:00:00Z,-20,0,,1,3.0924140433066067e-4,idle,1,1085,idle 0
104,630.569S,2.47,0.96,0.43,0.4332257380858435,0.9598268576134961,1970-01-01T00:00:00Z,-20,0,,1,3.092268087772761e-4,idle,1,1085,idle 0
105,630.574S,2.47,0.96,0.43,0.4332247982179874,0.9598272643262609,1970-01-01T00:00:00Z,-20,0,,1,3.0921651570337395e-4,idle,1,1085,idle 0
106,630.578S,2.47,0.96,0.43,0.43322406039720157,0.9598275898536478,1970-01-01T00:00:00Z,-20,0,,1,3.092478969566509e-4,idle,1,1085,idle 0
107,630.581S,2.47,0.96,0.43,0.4332235152610444,0.9598278341008941,1970-01-01T00:00:00Z,-20,0,,1,3.0952201859913315e-4,idle,1,1085,idle 0
108,630.585S,2.47,0.96,0.43,0.4332227994097226,0.9598281599117439,1970-01-01T00:00:00Z,-20,0,,1,3.1127957674531603e-4,idle,1,1085,idle 0
109,630.589S,2.47,0.96,0.43,0.433222096154057,0.9598284859055681,1970-01-01T00:00:00Z,-20,0,,1,3.2223286793555344e-4,idle,1,1085,idle 0
110,630.593S,2.47,0.96,0.43,0.43322140552435773,0.9598288120976357,1970-01-01T00:00:00Z,-20,0,,1,3.9011953373931465e-4,idle,1,1085,idle 0
111,630.597S,2.47,0.96,0.45,0.43322072755093505,0.9598291385032157,1970-01-01T00:00:00Z,-20,0,,1,8.105022428598898e-4,idle,1,1085,idle 0
112,630.6S,2.47,0.96,0.43,0.43322022739478316,0.959829383456704,1970-01-01T00:00:00Z,-20,0,,1,3.9008989970362566e-4,idle,1,1085,idle 0
113,630.604S,2.47,0.96,0.43,0.4332195716427787,0.9598297102726727,1970-01-01T00:00:00Z,-20,0,,1,3.2217954648699934e-4,idle,1,1085,idle 0
114,630.608S,2.47,0.96,0.43,0.4332189286304043,0.9598300373441448,1970-01-01T00:00:00Z,-20,0,,1,3.1120108953450675e-4,idle,1,1085,idle 0
115,630.612S,2.47,0.96,0.43,0.4332182983879699,0.9598303646863892,1970-01-01T00:00:00Z,-20,0,,1,3.0941721344187337e-4,idle,1,1085,idle 0
116,630.617S,2.47,0.96,0.43,0.433217528588831,0.9598307742682298,1970-01-01T00:00:00Z,-20,0,,1,3.091167094819112e-4,idle,1,1085,idle 0
117,630.621S,2.47,0.96,0.43,0.4332169271895839,0.9598311022755402,1970-01-01T00:00:00Z,-20,0,,1,3.0905844756145054e-4,idle,1,1085,idle 0
118,630.624S,2.47,0.96,0.43,0.4332164845834103,0.9598313484904487,1970-01-01T00:00:00Z,-20,0,,1,3.0904123933700483e-4,idle,1,1085,idle 0
119,630.628S,2.47,0.96,0.43,0.4332159057238393,0.9598316770684749,1970-01-01T00:00:00Z,-20,0,,1,3.0902877821428607e-4,idle,1,1085,idle 0
